,JPN_UNHEDGED,JPN_HEDGED,AUS_UNHEDGED,AUS_HEDGED,DEU_UNHEDGED,DEU_HEDGED,FRA_UNHEDGED,FRA_HEDGED,CHE_UNHEDGED,CHE_HEDGED,GBR_UNHEDGED,GBR_HEDGED,EQ_UNHEDGED,EQ_HEDGED,RP_UNHEDGED,RP_HEDGED,MV_UNHEDGED,MV_HEDGED
2012-07-31,0.7670726498606899,1.6988085646376871,4.026032980240526,0.5914762543166106,1.2591977409269777,1.2567727712094579,1.3034692543089992,1.1070971163943424,2.118695402880851,2.2053191249539394,1.452200927789403,0.9604332422227453,0.8262939268723887,0.6659330183627333,1.3172816588395204,0.6668014151921754,1.596906755826033,0.7550829851684719
2012-08-31,0.7700967179242599,1.6932588073687733,4.087503881490682,0.5981217906971805,1.3336434675684257,1.2816471447024675,1.3994286999930037,1.1450585932744253,2.182783291227509,2.206233135645834,1.5149224004994455,0.9755180222707502,0.857333676619401,0.6746091044582,1.365027634838946,0.6751390554772116,1.6304368759109364,0.7608474993204931
2012-09-30,0.7748131130076911,1.7220840545582796,4.125616709389568,0.6033664856411713,1.3761524357445536,1.3133276447841755,1.4023507324955478,1.1392557661231664,2.2397102068256034,2.2523088134540488,1.5287000045363366,0.985737416539206,0.8694200153490743,0.6832444600879573,1.3840883221886853,0.6837712046715265,1.6456394449734344,0.7732485372234839
2012-10-31,0.7594563938391399,1.7303714821251637,4.29616979900846,0.6155116245087157,1.3840206586602777,1.3346886941345448,1.4152852140374945,1.1617796562024467,2.2579239304464025,2.2891436103307754,1.5358313877849834,0.995879763340256,0.8765577043637804,0.6932221372456505,1.393920449306989,0.693831524202092,1.690526378225091,0.7837220714582565
2012-11-30,0.7711920630642456,1.8136148210012004,4.331148980424852,0.6109920246963999,1.4436462086842021,1.3629466619361785,1.5010749109167039,1.2067487720330357,2.3696544692451527,2.361183679922312,1.585242089248763,1.0158206115903512,0.9070835807452187,0.7107996032142427,1.4421829187774013,0.7109008971683416,1.7437619517343335,0.8042970805663539
2012-12-31,0.7925411462845301,1.9706745858020143,4.489797444143238,0.6252465260036413,1.495372575393823,1.3927217953768263,1.5500970755415666,1.2292833874313482,2.3682471097208704,2.3680991143239503,1.5840915415843893,1.025433690100484,0.9269610444067841,0.7300910155420786,1.4721615449454273,0.7290306659126726,1.7765832336983636,0.8089423632245982
2013-01-31,0.8313625218936497,2.1504051877865176,4.6341580926844514,0.6508643136603245,1.5419578443402282,1.4318577522962492,1.602176129944377,1.2668314492104604,2.5417838555365204,2.5382688340972233,1.6302648222572602,1.085965064760946,0.9653235227100904,0.7692371720155046,1.5349810195494407,0.7686445916418687,1.8713421621682707,0.8624350001039359
2013-02-28,0.8482390916066173,2.233781193006915,4.89338423763248,0.6790950332662344,1.5012092050302808,1.4364351840836855,1.5656684575455995,1.2754929059286317,2.5540162959900283,2.6214282093586427,1.6314190175026435,1.1134126557091002,0.9705597082828432,0.7884959811746989,1.5441089591570285,0.7886326649806336,1.9333831638842467,0.8878348748886262
2013-03-31,0.8846894477681418,2.3977476074405826,4.8116846540753535,0.6593437293102513,1.5163577753909876,1.442923660817573,1.5881456532248608,1.2866948586412017,2.6474573895350826,2.691828073193595,1.6768481226280751,1.1262593869261104,0.9891872387455921,0.8011134347451285,1.5766296048849524,0.8001377798676654,1.953968746471717,0.9059624932483965
2013-04-30,0.9627759171027284,2.6842150149286423,4.78056796734104,0.6784824537731312,1.52930383765925,1.4599177430574801,1.6350090651896767,1.3288317837438774,2.64985664726868,2.7504721843828865,1.6887586927780063,1.134178821689493,1.0102655713714082,0.8307337765654067,1.6133055813996093,0.8279349469512439,1.947175885218721,0.9256997735436993
